"LOCATION","Country","VAR","Variable ","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CZE","Czech Republic","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2010","2010","100HAB","Per 100 inhabitants","0","Units",,,21.507,,
"CZE","Czech Republic","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2010-Q2","Q2-2010","100HAB","Per 100 inhabitants","0","Units",,,20.189,,
"CZE","Czech Republic","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2010-Q4","Q4-2010","100HAB","Per 100 inhabitants","0","Units",,,21.507,,
"CZE","Czech Republic","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2011","2011","100HAB","Per 100 inhabitants","0","Units",,,23.782,,
"CZE","Czech Republic","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2011-Q2","Q2-2011","100HAB","Per 100 inhabitants","0","Units",,,22.514,,
"CZE","Czech Republic","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2011-Q4","Q4-2011","100HAB","Per 100 inhabitants","0","Units",,,23.782,,
"CZE","Czech Republic","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2012","2012","100HAB","Per 100 inhabitants","0","Units",,,25.277,,
"CZE","Czech Republic","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2012-Q2","Q2-2012","100HAB","Per 100 inhabitants","0","Units",,,24.643,,
"CZE","Czech Republic","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2012-Q4","Q4-2012","100HAB","Per 100 inhabitants","0","Units",,,25.277,,
"CZE","Czech Republic","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2013","2013","100HAB","Per 100 inhabitants","0","Units",,,26.662,,
"CZE","Czech Republic","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2013-Q2","Q2-2013","100HAB","Per 100 inhabitants","0","Units",,,26.118,,
"CZE","Czech Republic","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2013-Q4","Q4-2013","100HAB","Per 100 inhabitants","0","Units",,,26.662,,
"CZE","Czech Republic","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2014","2014","100HAB","Per 100 inhabitants","0","Units",,,28.75,,
"CZE","Czech Republic","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2014-Q2","Q2-2014","100HAB","Per 100 inhabitants","0","Units",,,27.81,,
"CZE","Czech Republic","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2014-Q4","Q4-2014","100HAB","Per 100 inhabitants","0","Units",,,28.75,,
"CZE","Czech Republic","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2015","2015","100HAB","Per 100 inhabitants","0","Units",,,28.171,,
"CZE","Czech Republic","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2015-Q2","Q2-2015","100HAB","Per 100 inhabitants","0","Units",,,28.593,,
